show_id,title,country,release_year,duration(min),listed_in
80097363,Lo and Behold: Reveries of the Connected World,United States,2016,98,Documentaries
80132411,Figures of Speech,United States,2016,92,Documentaries
81000861,American Circumcision,United States,2017,101,Documentaries
80136440,Rats,United States,2016,88,Documentaries
80101609,Theo Who Lived,United States,2016,86,Documentaries
80210182,Discovering Bigfoot,United States,2017,111,Documentaries
81010212,Out of Many One,United States,2018,35,Documentaries
70267802,Blackfish,United States,2013,83,Documentaries
80104420,Asperger's Are Us,United States,2016,83,Documentaries
80173271,The Legend of 420,United States,2017,87,Documentaries
80176212,Voyeur,United States,2017,96,Documentaries
80222042,The Most Unknown,United States,2018,92,Documentaries
81087761,Roll Red Roll,United States,2018,80,Documentaries
81088318,The Pursuit,United States,2019,76,Documentaries
81006598,The Surrounding Game,United States,2018,98,Documentaries
70267834,Inequality for All,United States,2013,90,Documentaries
81009815,A Leaf of Faith,United States,2018,87,Documentaries
70293130,Hank: Five Years from the Brink,United States,2013,86,Documentaries
80128689,Feel Rich,United States,2017,70,Documentaries
81090071,American Factory,United States,2019,110,Documentaries
80171742,Unacknowledged,United States,2017,104,Documentaries
81082125,Our Planet - Behind The Scenes,United Kingdom,2019,63,Documentaries
80108998,Real Crime: Supermarket Heist (Tesco Bomber),United Kingdom,2010,46,Documentaries
80993489,Being Napoleon,United States,2018,88,Documentaries
80080106,The Bomb,United States,2016,59,Documentaries
80109260,APEX: The Story of the Hypercar,United States,2016,86,Documentaries
80108147,How to Win the US Presidency,United States,2016,51,Documentaries
80097466,Newtown,United States,2016,84,Documentaries
81092327,Perfect Bid: The Contestant Who Knew Too Much,Canada,2017,72,Documentaries
80044562,A Murder in the Park,United States,2014,91,Documentaries
80149821,The Rachel Divide,United States,2018,105,Documentaries
80182411,Bill Nye: Science Guy,United States,2017,97,Documentaries
70296578,Secrets of Scotland Yard,United Kingdom,2013,55,Documentaries
70296574,Secrets of Selfridges,United States,2014,55,Documentaries
81030755,The Last Resort,United States,2018,70,Documentaries
80174436,Mercury 13,United States,2018,79,Documentaries
81088285,The Mayo Clinic,United States,2018,116,Documentaries
80172000,American Experience: Ruby Ridge,United States,2017,53,Documentaries
80169778,Oklahoma City,United States,2017,102,Documentaries
81090128,The Creative Brain,United States,2019,53,Documentaries
80058247,Prescription Thugs,United States,2015,86,Documentaries
70302184,From One Second to the Next,United States,2013,35,Documentaries
80035467,The Seven Five,United States,2014,104,Documentaries
80210602,I Am Maris,United States,2018,54,Documentaries
81088284,The World's Most Wanted Animal,United Kingdom,2018,53,Documentaries
80226076,Big Time,Denmark,2017,90,Documentaries
80148180,Gringo: The Dangerous Life of John McAfee,United States,2016,97,Documentaries
80217041,The Search for Life in Space,United States,2016,32,Documentaries
70129457,Life 2.0,United States,2010,99,Documentaries
80104318,Silicon Cowboys,United States,2016,77,Documentaries
80097468,The Bad Kids,United States,2016,101,Documentaries
80064521,Jeremy Scott: The People's Designer,United States,2015,109,Documentaries
81092328,American Warfighter,United States,2019,106,Dramas
81003058,Hope Springs Eternal,United States,2018,79,Dramas
80057565,The Sea of Trees,United States,2015,111,Dramas
80173002,The Journey Is the Destination,United States,2016,123,Dramas
81092045,Burning Cane,United States,2019,78,Dramas
